#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","azure account","Completed","25/02/2019 10:20:14","25/02/2019 10:20:14"
"2","azure -h","Completed","25/02/2019 10:20:23","25/02/2019 10:20:23"
"3","az -h","Completed","25/02/2019 10:20:27","25/02/2019 10:20:32"
"4","az account","Completed","25/02/2019 10:20:37","25/02/2019 10:20:38"
"5","az account list","Completed","25/02/2019 10:20:42","25/02/2019 10:20:47"
"6","az account set -i 6db57034-a46f-4caa-aa93-5b6f21c5d5e2","Completed","25/02/2019 10:21:03","25/02/2019 10:21:04"
"7","az account set -h","Completed","25/02/2019 10:21:08","25/02/2019 10:21:10"
"8","az account set -s 6db57034-a46f-4caa-aa93-5b6f21c5d5e2","Completed","25/02/2019 10:21:15","25/02/2019 10:21:17"
"9","cd .\Documents\Repos\azurefunctiontest\","Completed","25/02/2019 10:21:39","25/02/2019 10:21:39"
"10","az group create --name leeds-ds-meetup --location westeurope","Completed","25/02/2019 10:44:31","25/02/2019 10:44:35"
"11","az storage account create --name leeds-ds-meetup-sa123  --location westeurope --resource-group leeds-ds-meetup --sku Standard_LRS","Completed","25/02/2019 10:45:49","25/02/2019 10:45:52"
"12","az storage account create --name leedsdssa123  --location westeurope --resource-group leeds-ds-meetup --sku Standard_LRS","Completed","25/02/2019 10:46:11","25/02/2019 10:46:35"
"13","az functionapp create --resource-group myResourceGroup --os-type Linux \","Completed","25/02/2019 10:47:30","25/02/2019 10:47:33"
"14","--consumption-plan-location westeurope  --runtime python \","Failed","25/02/2019 10:47:33","25/02/2019 10:47:33"
"15","az functionapp create --resource-group leeds-ds-meetup --os-type Linux \
--consumption-plan-location westeurope  --runtime python \
--name leeds-demo-app --storage-account leedsdssa123","Failed","25/02/2019 10:48:53","25/02/2019 10:48:53"
"16","az functionapp create --resource-group leeds-ds-meetup --os-type Linux --consumption-plan-location westeurope  --runtime python --name leeds-demo-app --storage-account leedsdssa123","Completed","25/02/2019 10:49:10","25/02/2019 10:49:37"
"17","az -h","Completed","25/02/2019 10:59:22","25/02/2019 10:59:24"
"18","az functionapp -h","Completed","25/02/2019 10:59:32","25/02/2019 10:59:33"
"19","az functionapp show -h","Completed","25/02/2019 10:59:45","25/02/2019 10:59:47"
"20","az functionapp show -n leeds-demo-app -g leeds-ds-meetup","Completed","25/02/2019 11:00:17","25/02/2019 11:00:20"
"21","func azure functionapp publish leeds-demo-app","Completed","25/02/2019 11:08:17","25/02/2019 11:14:51"
"22","cd ..","Completed","25/02/2019 19:36:42","25/02/2019 19:36:42"
"23","cd .\leeds-ds-meetup\FunctionsCode\","Completed","25/02/2019 19:36:54","25/02/2019 19:36:54"
"24","func azure functionapp publish leeds-demo-app","Completed","25/02/2019 19:37:08","25/02/2019 19:43:10"
"25","func azure functionapp publish leeds-demo-app","Completed","25/02/2019 19:50:25","25/02/2019 20:09:13"
"26","func azure functionapp publish leeds-demo-app","Completed","25/02/2019 20:13:21","25/02/2019 20:33:05"
"27","func azure functionapp publish leeds-demo-app","Completed","25/02/2019 20:41:36","25/02/2019 20:59:55"
"28","az functionapp show -n leeds-demo-app -g leeds-ds-meetup","Completed","25/02/2019 21:02:01","25/02/2019 21:02:09"
"29","cd ..","Completed","25/02/2019 21:05:29","25/02/2019 21:05:29"
"30","cd ..","Completed","25/02/2019 21:05:31","25/02/2019 21:05:31"
"31","cd .\azurefunctiontest\","Completed","25/02/2019 21:05:34","25/02/2019 21:05:34"
"32","func azure functionapp publish leeds-demo-app","Completed","25/02/2019 21:05:41","25/02/2019 21:29:06"
"33","func host start","Completed","25/02/2019 21:41:58","25/02/2019 21:42:00"
"34",".\.env\Scripts\activate","Completed","25/02/2019 21:42:27","25/02/2019 21:42:27"
"35","func host start","Stopped","25/02/2019 21:42:29","25/02/2019 21:45:22"
"36","func host start","Stopped","25/02/2019 21:45:30","25/02/2019 21:47:18"
"37","func host start","Stopped","25/02/2019 21:47:19","25/02/2019 21:48:23"
"38","func azure functionapp publish leeds-demo-app","Completed","25/02/2019 21:49:00","25/02/2019 22:12:09"
"39","Get-History","Completed","25/02/2019 22:27:40","25/02/2019 22:27:40"
"40","Get-History | history.txt","Completed","25/02/2019 22:27:50","25/02/2019 22:27:50"
"41","Get-History | Export-txt history.txt","Completed","25/02/2019 22:28:02","25/02/2019 22:28:02"
"42","Get-History | Export-TXT history.txt","Completed","25/02/2019 22:28:07","25/02/2019 22:28:07"
